"age_band","area_density_type","total_claims","num_policies","total_severity","total_exposure","frequency_raw","severity_raw"
"18-21","A",124,1710,476055.38,704.789,0.17593918179767277866,3839.1562903225806452
"18-21","B",128,1320,486373.92,540.674,0.23674154851167246807,3799.7962500000000000
"18-21","C",266,3543,1179499.06,1399.153,0.19011501958685004428,4434.2069924812030075
"18-21","D",239,2689,631889.14,1024.259,0.23333941903366238422,2643.8876150627615063
"18-21","E",165,1915,472839.75,710.193,0.23233121137493610892,2865.6954545454545455
"18-21","F",9,76,14834.75,25.610,0.35142522452167122218,1648.3055555555555556
"22-30","A",432,12920,786308.39,6500.826,0.06645309380684854509,1820.1583101851851852
"22-30","B",325,9399,468972.07,4516.708,0.07195506107545584085,1442.9909846153846154
"22-30","C",937,24712,1731447.71,11059.372,0.08472452142852234286,1847.8630843116328709
"22-30","D",1045,22264,1928023.48,9383.584,0.11136469817928842540,1844.9985454545454545
"22-30","E",1011,21620,2450032.50,8572.587,0.11793406121162724858,2423.3753709198813056
"22-30","F",101,2321,124685.92,970.290,0.10409259087489307320,1234.5140594059405941
"31-40","A",661,23919,1588398.29,13504.976,0.04894492222718500203,2403.0231316187594554
"31-40","B",581,19620,1169550.53,10581.419,0.05490756958022359761,2012.9957487091222031
"31-40","C",1536,47139,2699714.08,24050.565,0.06386544349373912837,1757.6263541666666667
"31-40","D",1379,38159,2963425.52,17922.999,0.07694024867155323727,2148.9670195794053662
"31-40","E",1451,36735,2836952.00,15961.404,0.09090678990394579324,1955.1702274293590627
"31-40","F",192,4525,390105.53,1915.804,0.10021902031731847308,2031.7996354166666667
"41-50","A",879,25643,1774886.90,15517.035,0.05664742007735369547,2019.2114903299203641
"41-50","B",695,18126,1158869.26,10364.627,0.06705499387483987605,1667.4377841726618705
"41-50","C",1813,47419,2989667.18,25874.959,0.07006774387545889445,1649.0166464423607281
"41-50","D",1594,36831,2682940.30,18847.573,0.08457322330042175722,1683.1494981179422836
"41-50","E",1504,32963,2713604.91,15622.673,0.09627033734880068219,1804.2585837765957447
"41-50","F",175,4203,211213.81,1911.314,0.09156004717173630288,1206.9360571428571429
"51-60","A",662,20707,1265107.48,12636.579,0.05238759635815991021,1911.0384894259818731
"51-60","B",486,15073,826082.92,9053.883,0.05367862606574438835,1699.7590946502057613
"51-60","C",1468,39570,2367657.00,22922.560,0.06404171261848589337,1612.8453678474114441
"51-60","D",1318,30217,2891305.34,16548.966,0.07964243808344279637,2193.7066312594840668
"51-60","E",1127,25646,1924263.85,12788.673,0.08812485861511980172,1707.4213398402839397
"51-60","F",172,3801,283606.64,1776.885,0.09679861105248792128,1648.8758139534883721
"61-70","A",329,11515,827476.74,7401.582,0.04444995677951011014,2515.1268693009118541
"61-70","B",241,7080,382863.07,4482.017,0.05377043415944205477,1588.6434439834024896
"61-70","C",645,18342,1085067.50,11378.167,0.05668751390272264417,1682.2751937984496124
"61-70","D",544,13532,1113116.04,8035.028,0.06770355996270330359,2046.1691911764705882
"61-70","E",528,11519,931325.33,6116.103,0.08632948137073558114,1763.8737310606060606
"61-70","F",72,1875,92176.08,919.750,0.07828214188638216907,1280.2233333333333333
"71-80","A",225,6319,664667.20,4697.203,0.04790084652504905579,2954.0764444444444444
"71-80","B",155,4089,396779.64,2880.347,0.05381296073007870232,2559.8686451612903226
"71-80","C",351,9354,843190.84,6365.170,0.05514385318852442276,2402.2531054131054131
"71-80","D",274,6698,808481.92,4454.241,0.06151440840313759404,2950.6639416058394161
"71-80","E",272,5711,864310.19,3322.571,0.08186431531485707905,3177.6109926470588235
"71-80","F",45,1014,54528.53,526.529,0.08546537797538217268,1211.7451111111111111
"81-100","A",52,1224,71135.05,1006.316,0.05167362935698130607,1367.9817307692307692
"81-100","B",22,752,67916.39,592.589,0.03712522507167699704,3087.1086363636363636
"81-100","C",77,1801,334026.16,1398.907,0.05504297283522064011,4338.0020779220779221
"81-100","D",65,1206,80977.46,903.452,0.07194626831309244985,1245.8070769230769231
"81-100","E",64,1058,85620.27,724.989,0.08827720144719437122,1337.8167187500000000
"81-100","F",8,139,8455.16,83.036,0.09634375451611349294,1056.8950000000000000
